Depth (m),qc (MPa)
0.02,0.1940
0.04,0.2060
0.06,0.3430
0.08,0.4460
0.1,0.4400
0.12,0.5470
0.14,0.8210
0.16,0.9900
0.18,1.0410
0.2,1.1860
0.22,1.4040
0.24,1.7670
0.26,2.0350
0.28,2.3330
0.3,2.4750
0.32,2.4270
0.34,2.5970
0.36,2.7260
0.38,2.8040
0.4,2.8890
0.42,3.0340
0.44,3.2860
0.46,3.5810
0.48,3.8950
0.5,4.1420
0.52,4.2290
0.54,4.3070
0.56,4.5630
0.58,4.8240
0.6,5.0310
0.62,5.0390
0.64,4.9370
0.66,4.9950
0.68,5.0630
0.7,5.1670
0.72,5.1420
0.74,5.0170
0.76,4.8930
0.78,4.9580
0.8,5.1980
0.82,5.5780
0.84,5.8640
0.86,5.8810
0.88,6.0810
0.9,6.2300
0.92,6.4500
0.94,6.5090
0.96,6.4940
0.98,6.3860
1,6.3410
1.02,6.3630
1.04,6.4200
1.06,6.5130
1.08,6.4860
1.1,6.4150
1.12,6.3420
1.14,6.2730
1.16,6.2100
1.18,6.0790
1.2,5.8300
1.22,5.7580
1.24,5.8230
1.26,5.9560
1.28,6.0080
1.3,6.0320
1.32,5.9680
1.34,5.9190
1.36,5.9080
1.38,5.8710
1.4,5.8240
1.42,5.7470
1.44,5.5450
1.46,5.4130
1.48,5.0450
1.5,4.9520
1.52,4.9500
1.54,4.9410
1.56,5.0020
1.58,5.0570
1.6,5.1110
1.62,5.1350
1.64,5.1520
1.66,5.2460
1.68,5.4010
1.7,5.4890
1.72,5.5020
1.74,5.5520
1.76,5.5760
1.78,5.5570
1.8,5.5310
1.82,5.4390
1.84,5.2640
1.86,5.0840
1.88,4.9670
1.9,4.7140
1.92,4.6330
1.94,4.6630
1.96,4.6680
1.98,4.5930
2,4.4370
2.02,4.3910
2.04,4.3150
2.06,4.3020
2.08,4.3630
2.1,4.4270
2.12,4.4340
2.14,4.4840
2.16,4.4730
2.18,4.3290
2.2,4.2140
2.22,4.2100
2.24,4.2270
2.26,4.2980
2.28,4.3560
2.3,4.3030
2.32,4.2150
2.34,4.1710
2.36,4.1880
2.38,4.4000
2.4,4.5510
2.42,4.6460
2.44,4.6720
2.46,4.6440
2.48,4.6010
2.5,4.5780
2.52,4.5860
2.54,4.5600
2.56,4.5100
2.58,4.3860
2.6,4.2890
2.62,4.1130
2.64,3.9730
2.66,3.8080
2.68,3.7290
2.7,3.7360
2.72,3.7630
2.74,3.9170
2.76,4.0600
2.78,4.3310
2.8,4.5600
2.82,1.5320
2.84,2.3570
2.86,2.7700
2.88,3.0790
2.9,3.4680
2.92,3.7600
2.94,4.5620
2.96,4.8090
2.98,5.0540
3,5.2890
3.02,5.3450
3.04,5.2930
3.06,5.1440
3.08,5.1800
3.1,5.2210
3.12,5.1880
3.14,5.1450
3.16,5.1440
3.18,5.1870
3.2,5.2200
3.22,5.2190
3.24,5.2280
3.26,5.1730
3.28,5.1000
